ID,Имя,Фамилия,Отчество,Email,"Дата рождения","Дата выпуска паспорта","Серия паспорта",Гражданство,"Мобильный тел",Виза,Адрес,"Типа билета",Цена,Статус
42588459777,UGR,LKJJLK,Лебедева,fedotov.ananii@narod.ru,30-06-1998,29-07-1992,AA99999999,UZB,"+998(92) 102-14-4_",54532320,"978296, Калининградская область, город Можайск, пл. Ладыгина, 63",ADT,2277600,booked
37381235677,Igo,ijpok;lk,;lk;lk,re@mai.ru,28-05-1993,23-07-1992,AA999999,UZB,"+998(90) 998-90-87",,,ADT,2277600,booked
83446128203,;lk;lk,;lk;lk;lk,;k;lk,m@mail.ru,23-07-1992,25-08-1993,aa99999,54646,"+998(96) 464-65-46",,,ADT,2277600,booked
461956533698,5131321,321321321,3213212,remre@example.com,31-12-1998,25-08-1993,AA999999,2121,"+998(32) 132-13-21",,,ADT,2277600,booked
593076642830,321321321,321321321,321321321,32@321.231,31-03-2132,11-11-1111,AA888888888,3213213,"+998(32) 132-13-21",,,ADT,2277600,booked
310647388619,321321321,321321321,321321321,32@321.231,31-03-2132,11-11-1111,AA888888888,3213213,"+998(32) 132-13-21",121,1212,ADT,2277600,booked
116495015062,IGR,KKK,,re@mail.eu,23-05-1992,25-09-1992,AA12313213,UZB,"+998(77) 777-77-77",,,ADT,2277600,paid
609056528152,IGR,KKK,,re@mail.eu,19-09-2052,25-09-1992,AA12313213,UZB,"+998(77) 777-77-77",,,ADT,2277600,booked
15060429802,321321321,321321321,321321321,32@321.231,21-03-2033,11-11-1111,AA888888888,3213213,"+998(32) 132-13-21",,,ADT,2277600,booked
937760570508,IGR,KKK,,re@mail.eu,19-09-2052,25-09-1992,AA12313213,UZB,"+998(77) 777-77-77",,,ADT,2277600,booked
